epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,2602.6,0.65591,0.38332,0.94128,0.90392,0.90206,0.91583,0.72859,0.74943,0.50124,0.97224,0.000319079,0.000319079,0.000319079
146,2620.47,0.64721,0.37982,0.93839,0.89268,0.92305,0.9191,0.73404,0.74789,0.49416,0.96817,0.00031358,0.00031358,0.00031358
147,2638.2,0.63975,0.37644,0.93059,0.89917,0.9095,0.91369,0.72843,0.749,0.48702,0.96555,0.00030808,0.00030808,0.00030808
148,2655.99,0.64908,0.381,0.94048,0.90078,0.91051,0.91478,0.72736,0.75155,0.48519,0.97308,0.000302581,0.000302581,0.000302581
149,2673.66,0.64114,0.37552,0.93685,0.90929,0.90389,0.91869,0.73417,0.74714,0.49595,0.96856,0.000297081,0.000297081,0.000297081
150,2691.49,0.64429,0.37477,0.93918,0.91126,0.89928,0.91393,0.73116,0.74624,0.49778,0.96535,0.000291582,0.000291582,0.000291582
151,2709.43,0.64703,0.37469,0.93891,0.88766,0.9129,0.90996,0.72674,0.74701,0.50064,0.96851,0.000286083,0.000286083,0.000286083
152,2727.29,0.63764,0.37289,0.93011,0.88546,0.91599,0.91054,0.72897,0.74895,0.49744,0.97375,0.000280583,0.000280583,0.000280583
153,2744.93,0.64645,0.37435,0.93837,0.89523,0.91736,0.91352,0.73394,0.74225,0.48696,0.96357,0.000275084,0.000275084,0.000275084
154,2768.46,0.62849,0.37431,0.93417,0.89627,0.91719,0.91301,0.73064,0.747,0.49207,0.96802,0.000269584,0.000269584,0.000269584
155,2786.8,0.63017,0.37118,0.93192,0.88541,0.92407,0.91322,0.73159,0.74775,0.50094,0.97214,0.000264085,0.000264085,0.000264085
156,2805.08,0.64168,0.37167,0.93726,0.89859,0.91473,0.91443,0.73014,0.74735,0.50131,0.96791,0.000258585,0.000258585,0.000258585
157,2823.09,0.63251,0.36813,0.93259,0.90543,0.9014,0.91218,0.73403,0.74153,0.49416,0.96621,0.000253086,0.000253086,0.000253086
158,2841.11,0.63363,0.37217,0.93007,0.89592,0.91695,0.91625,0.73411,0.74534,0.49807,0.9726,0.000247586,0.000247586,0.000247586
159,2859.09,0.62547,0.37033,0.93113,0.87904,0.92529,0.9143,0.73195,0.73961,0.4979,0.96517,0.000242087,0.000242087,0.000242087
160,2876.88,0.63373,0.36736,0.93451,0.89935,0.90608,0.91267,0.72855,0.74767,0.49583,0.97073,0.000236587,0.000236587,0.000236587
161,2894.96,0.6249,0.36546,0.92873,0.89731,0.90875,0.91719,0.73414,0.74081,0.4976,0.9716,0.000231088,0.000231088,0.000231088
162,2912.98,0.6197,0.35979,0.92816,0.88761,0.92076,0.9104,0.72418,0.75008,0.49371,0.9757,0.000225589,0.000225589,0.000225589
163,2931.02,0.62066,0.36798,0.92496,0.88564,0.91666,0.91406,0.7293,0.74759,0.49524,0.97442,0.000220089,0.000220089,0.000220089
164,2949.05,0.62173,0.35857,0.92818,0.88871,0.9128,0.9103,0.72669,0.74424,0.49504,0.9731,0.00021459,0.00021459,0.00021459
165,2967.18,0.62401,0.36315,0.92638,0.89109,0.91114,0.91414,0.72866,0.74432,0.50349,0.97594,0.00020909,0.00020909,0.00020909
